n,p,m_total,m_count,m_mean,m_min,m_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max,isteps_total,isteps_count,isteps_mean,isteps_min,isteps_max,inumber_total,inumber_count,inumber_mean,inumber_min,inumber_max
20,10,10,1,10,10,10,199,1,199,199,199,3,1,3,3,3,199,1,199,199,199,3,1,3,3,3
20,10,23,1,23,23,23,205,1,205,205,205,3,1,3,3,3,226,1,226,226,226,3,1,3,3,3
20,10,14,1,14,14,14,199,1,199,199,199,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,21,1,21,21,21,205,1,205,205,205,3,1,3,3,3,228,1,228,228,228,3,1,3,3,3
20,10,19,1,19,19,19,203,1,203,203,203,3,1,3,3,3,222,1,222,222,222,3,1,3,3,3
20,10,12,1,12,12,12,198,1,198,198,198,3,1,3,3,3,215,1,215,215,215,3,1,3,3,3
20,10,16,1,16,16,16,200,1,200,200,200,2,1,2,2,2,200,1,200,200,200,2,1,2,2,2
20,10,22,1,22,22,22,204,1,204,204,204,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,25,1,25,25,25,210,1,210,210,210,4,1,4,4,4,237,1,237,237,237,4,1,4,4,4
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,228,1,228,228,228,3,1,3,3,3
20,10,23,1,23,23,23,203,1,203,203,203,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,24,1,24,24,24,205,1,205,205,205,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,22,1,22,22,22,204,1,204,204,204,3,1,3,3,3,241,1,241,241,241,3,1,3,3,3
20,10,17,1,17,17,17,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,18,1,18,18,18,204,1,204,204,204,3,1,3,3,3,245,1,245,245,245,3,1,3,3,3
20,10,23,1,23,23,23,203,1,203,203,203,3,1,3,3,3,228,1,228,228,228,3,1,3,3,3
20,10,11,1,11,11,11,197,1,197,197,197,2,1,2,2,2,197,1,197,197,197,2,1,2,2,2
20,10,21,1,21,21,21,202,1,202,202,202,3,1,3,3,3,242,1,242,242,242,3,1,3,3,3
20,10,23,1,23,23,23,204,1,204,204,204,3,1,3,3,3,204,1,204,204,204,3,1,3,3,3
20,10,15,1,15,15,15,201,1,201,201,201,3,1,3,3,3,214,1,214,214,214,3,1,3,3,3
20,10,23,1,23,23,23,207,1,207,207,207,3,1,3,3,3,225,1,225,225,225,3,1,3,3,3
20,10,16,1,16,16,16,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,14,1,14,14,14,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,16,1,16,16,16,202,1,202,202,202,3,1,3,3,3,251,1,251,251,251,3,1,3,3,3
20,10,19,1,19,19,19,205,1,205,205,205,3,1,3,3,3,205,1,205,205,205,3,1,3,3,3
20,10,16,1,16,16,16,202,1,202,202,202,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,21,1,21,21,21,205,1,205,205,205,3,1,3,3,3,251,1,251,251,251,3,1,3,3,3
20,10,17,1,17,17,17,200,1,200,200,200,3,1,3,3,3,225,1,225,225,225,2,1,2,2,2
20,10,13,1,13,13,13,201,1,201,201,201,3,1,3,3,3,255,1,255,255,255,3,1,3,3,3
20,10,18,1,18,18,18,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,12,1,12,12,12,201,1,201,201,201,3,1,3,3,3,214,1,214,214,214,2,1,2,2,2
20,10,24,1,24,24,24,207,1,207,207,207,3,1,3,3,3,207,1,207,207,207,3,1,3,3,3
20,10,18,1,18,18,18,204,1,204,204,204,3,1,3,3,3,204,1,204,204,204,3,1,3,3,3
20,10,21,1,21,21,21,204,1,204,204,204,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,13,1,13,13,13,198,1,198,198,198,2,1,2,2,2,198,1,198,198,198,2,1,2,2,2
20,10,33,1,33,33,33,207,1,207,207,207,4,1,4,4,4,253,1,253,253,253,4,1,4,4,4
20,10,19,1,19,19,19,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,15,1,15,15,15,200,1,200,200,200,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,20,1,20,20,20,204,1,204,204,204,3,1,3,3,3,225,1,225,225,225,3,1,3,3,3
20,10,18,1,18,18,18,205,1,205,205,205,3,1,3,3,3,205,1,205,205,205,3,1,3,3,3
20,10,15,1,15,15,15,202,1,202,202,202,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,22,1,22,22,22,203,1,203,203,203,3,1,3,3,3,238,1,238,238,238,3,1,3,3,3
20,10,24,1,24,24,24,205,1,205,205,205,3,1,3,3,3,267,1,267,267,267,3,1,3,3,3
20,10,30,1,30,30,30,208,1,208,208,208,3,1,3,3,3,233,1,233,233,233,3,1,3,3,3
20,10,18,1,18,18,18,204,1,204,204,204,3,1,3,3,3,237,1,237,237,237,3,1,3,3,3
20,10,18,1,18,18,18,203,1,203,203,203,3,1,3,3,3,233,1,233,233,233,3,1,3,3,3
20,10,17,1,17,17,17,203,1,203,203,203,3,1,3,3,3,222,1,222,222,222,3,1,3,3,3
20,10,19,1,19,19,19,202,1,202,202,202,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,14,1,14,14,14,201,1,201,201,201,3,1,3,3,3,224,1,224,224,224,3,1,3,3,3
20,10,21,1,21,21,21,204,1,204,204,204,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,18,1,18,18,18,200,1,200,200,200,3,1,3,3,3,239,1,239,239,239,3,1,3,3,3
20,10,20,1,20,20,20,204,1,204,204,204,3,1,3,3,3,227,1,227,227,227,3,1,3,3,3
20,10,17,1,17,17,17,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,17,1,17,17,17,204,1,204,204,204,3,1,3,3,3,331,1,331,331,331,3,1,3,3,3
20,10,20,1,20,20,20,204,1,204,204,204,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,22,1,22,22,22,205,1,205,205,205,3,1,3,3,3,228,1,228,228,228,3,1,3,3,3
20,10,26,1,26,26,26,207,1,207,207,207,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,17,1,17,17,17,204,1,204,204,204,3,1,3,3,3,232,1,232,232,232,3,1,3,3,3
20,10,16,1,16,16,16,199,1,199,199,199,2,1,2,2,2,209,1,209,209,209,2,1,2,2,2
20,10,26,1,26,26,26,205,1,205,205,205,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,11,1,11,11,11,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,18,1,18,18,18,202,1,202,202,202,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,10,1,10,10,10,197,1,197,197,197,2,1,2,2,2,197,1,197,197,197,2,1,2,2,2
20,10,17,1,17,17,17,201,1,201,201,201,2,1,2,2,2,201,1,201,201,201,2,1,2,2,2
20,10,20,1,20,20,20,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,29,1,29,29,29,207,1,207,207,207,3,1,3,3,3,222,1,222,222,222,3,1,3,3,3
20,10,25,1,25,25,25,202,1,202,202,202,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,19,1,19,19,19,202,1,202,202,202,3,1,3,3,3,246,1,246,246,246,3,1,3,3,3
20,10,20,1,20,20,20,203,1,203,203,203,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,25,1,25,25,25,204,1,204,204,204,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,13,1,13,13,13,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,27,1,27,27,27,206,1,206,206,206,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,20,1,20,20,20,203,1,203,203,203,3,1,3,3,3,215,1,215,215,215,3,1,3,3,3
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,201,1,201,201,201,3,1,3,3,3
20,10,22,1,22,22,22,204,1,204,204,204,3,1,3,3,3,263,1,263,263,263,3,1,3,3,3
20,10,18,1,18,18,18,203,1,203,203,203,3,1,3,3,3,215,1,215,215,215,2,1,2,2,2
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,226,1,226,226,226,3,1,3,3,3
20,10,19,1,19,19,19,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,16,1,16,16,16,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,17,1,17,17,17,202,1,202,202,202,3,1,3,3,3,222,1,222,222,222,2,1,2,2,2
20,10,20,1,20,20,20,207,1,207,207,207,3,1,3,3,3,232,1,232,232,232,3,1,3,3,3
20,10,23,1,23,23,23,206,1,206,206,206,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,20,1,20,20,20,205,1,205,205,205,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,16,1,16,16,16,202,1,202,202,202,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,22,1,22,22,22,208,1,208,208,208,3,1,3,3,3,229,1,229,229,229,3,1,3,3,3
20,10,22,1,22,22,22,206,1,206,206,206,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,13,1,13,13,13,198,1,198,198,198,2,1,2,2,2,198,1,198,198,198,2,1,2,2,2
20,10,24,1,24,24,24,207,1,207,207,207,3,1,3,3,3,207,1,207,207,207,3,1,3,3,3
20,10,26,1,26,26,26,206,1,206,206,206,3,1,3,3,3,224,1,224,224,224,3,1,3,3,3
20,10,22,1,22,22,22,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,26,1,26,26,26,208,1,208,208,208,3,1,3,3,3,225,1,225,225,225,3,1,3,3,3
20,10,25,1,25,25,25,207,1,207,207,207,3,1,3,3,3,224,1,224,224,224,3,1,3,3,3
20,10,26,1,26,26,26,208,1,208,208,208,3,1,3,3,3,242,1,242,242,242,3,1,3,3,3
20,10,17,1,17,17,17,200,1,200,200,200,2,1,2,2,2,200,1,200,200,200,2,1,2,2,2
20,10,19,1,19,19,19,200,1,200,200,200,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,20,1,20,20,20,202,1,202,202,202,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,19,1,19,19,19,205,1,205,205,205,3,1,3,3,3,249,1,249,249,249,3,1,3,3,3
20,10,12,1,12,12,12,202,1,202,202,202,4,1,4,4,4,202,1,202,202,202,4,1,4,4,4
20,10,15,1,15,15,15,201,1,201,201,201,3,1,3,3,3,227,1,227,227,227,2,1,2,2,2
20,10,19,1,19,19,19,204,1,204,204,204,3,1,3,3,3,217,1,217,217,217,3,1,3,3,3
20,10,12,1,12,12,12,200,1,200,200,200,3,1,3,3,3,223,1,223,223,223,2,1,2,2,2
20,10,26,1,26,26,26,204,1,204,204,204,3,1,3,3,3,204,1,204,204,204,3,1,3,3,3
20,10,20,1,20,20,20,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,17,1,17,17,17,202,1,202,202,202,3,1,3,3,3,217,1,217,217,217,3,1,3,3,3
20,10,23,1,23,23,23,201,1,201,201,201,3,1,3,3,3,250,1,250,250,250,3,1,3,3,3
20,10,20,1,20,20,20,200,1,200,200,200,3,1,3,3,3,213,1,213,213,213,3,1,3,3,3
20,10,25,1,25,25,25,204,1,204,204,204,3,1,3,3,3,256,1,256,256,256,3,1,3,3,3
20,10,18,1,18,18,18,201,1,201,201,201,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,18,1,18,18,18,202,1,202,202,202,3,1,3,3,3,225,1,225,225,225,3,1,3,3,3
20,10,20,1,20,20,20,206,1,206,206,206,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,238,1,238,238,238,2,1,2,2,2
20,10,21,1,21,21,21,205,1,205,205,205,3,1,3,3,3,205,1,205,205,205,3,1,3,3,3
20,10,17,1,17,17,17,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,25,1,25,25,25,204,1,204,204,204,3,1,3,3,3,204,1,204,204,204,3,1,3,3,3
20,10,20,1,20,20,20,200,1,200,200,200,2,1,2,2,2,200,1,200,200,200,2,1,2,2,2
20,10,19,1,19,19,19,199,1,199,199,199,3,1,3,3,3,212,1,212,212,212,3,1,3,3,3
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,220,1,220,220,220,2,1,2,2,2
20,10,27,1,27,27,27,206,1,206,206,206,3,1,3,3,3,206,1,206,206,206,3,1,3,3,3
20,10,22,1,22,22,22,207,1,207,207,207,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,13,1,13,13,13,200,1,200,200,200,3,1,3,3,3,200,1,200,200,200,3,1,3,3,3
20,10,21,1,21,21,21,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,19,1,19,19,19,201,1,201,201,201,3,1,3,3,3,243,1,243,243,243,3,1,3,3,3
20,10,22,1,22,22,22,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,24,1,24,24,24,209,1,209,209,209,4,1,4,4,4,260,1,260,260,260,3,1,3,3,3
20,10,24,1,24,24,24,205,1,205,205,205,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,16,1,16,16,16,200,1,200,200,200,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,18,1,18,18,18,201,1,201,201,201,3,1,3,3,3,201,1,201,201,201,3,1,3,3,3
20,10,23,1,23,23,23,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,20,1,20,20,20,206,1,206,206,206,3,1,3,3,3,251,1,251,251,251,3,1,3,3,3
20,10,27,1,27,27,27,206,1,206,206,206,3,1,3,3,3,226,1,226,226,226,3,1,3,3,3
20,10,18,1,18,18,18,201,1,201,201,201,3,1,3,3,3,201,1,201,201,201,3,1,3,3,3
20,10,19,1,19,19,19,201,1,201,201,201,3,1,3,3,3,224,1,224,224,224,3,1,3,3,3
20,10,12,1,12,12,12,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,24,1,24,24,24,204,1,204,204,204,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,16,1,16,16,16,202,1,202,202,202,3,1,3,3,3,228,1,228,228,228,2,1,2,2,2
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,16,1,16,16,16,200,1,200,200,200,3,1,3,3,3,215,1,215,215,215,3,1,3,3,3
20,10,20,1,20,20,20,205,1,205,205,205,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,10,1,10,10,10,198,1,198,198,198,3,1,3,3,3,217,1,217,217,217,2,1,2,2,2
20,10,23,1,23,23,23,205,1,205,205,205,3,1,3,3,3,277,1,277,277,277,3,1,3,3,3
20,10,22,1,22,22,22,203,1,203,203,203,3,1,3,3,3,224,1,224,224,224,3,1,3,3,3
20,10,21,1,21,21,21,204,1,204,204,204,3,1,3,3,3,292,1,292,292,292,2,1,2,2,2
20,10,22,1,22,22,22,206,1,206,206,206,3,1,3,3,3,267,1,267,267,267,3,1,3,3,3
20,10,14,1,14,14,14,200,1,200,200,200,3,1,3,3,3,200,1,200,200,200,3,1,3,3,3
20,10,14,1,14,14,14,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,18,1,18,18,18,202,1,202,202,202,3,1,3,3,3,228,1,228,228,228,2,1,2,2,2
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,201,1,201,201,201,3,1,3,3,3
20,10,21,1,21,21,21,204,1,204,204,204,3,1,3,3,3,236,1,236,236,236,3,1,3,3,3
20,10,11,1,11,11,11,199,1,199,199,199,3,1,3,3,3,222,1,222,222,222,3,1,3,3,3
20,10,20,1,20,20,20,204,1,204,204,204,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,20,1,20,20,20,204,1,204,204,204,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,18,1,18,18,18,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,20,1,20,20,20,206,1,206,206,206,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,25,1,25,25,25,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,15,1,15,15,15,201,1,201,201,201,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,13,1,13,13,13,200,1,200,200,200,3,1,3,3,3,231,1,231,231,231,3,1,3,3,3
20,10,21,1,21,21,21,203,1,203,203,203,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,14,1,14,14,14,200,1,200,200,200,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,25,1,25,25,25,205,1,205,205,205,3,1,3,3,3,226,1,226,226,226,3,1,3,3,3
20,10,22,1,22,22,22,206,1,206,206,206,3,1,3,3,3,227,1,227,227,227,3,1,3,3,3
20,10,20,1,20,20,20,203,1,203,203,203,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,18,1,18,18,18,200,1,200,200,200,3,1,3,3,3,200,1,200,200,200,3,1,3,3,3
20,10,11,1,11,11,11,198,1,198,198,198,2,1,2,2,2,198,1,198,198,198,2,1,2,2,2
20,10,12,1,12,12,12,199,1,199,199,199,3,1,3,3,3,223,1,223,223,223,2,1,2,2,2
20,10,18,1,18,18,18,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,19,1,19,19,19,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,18,1,18,18,18,201,1,201,201,201,2,1,2,2,2,201,1,201,201,201,2,1,2,2,2
20,10,17,1,17,17,17,203,1,203,203,203,3,1,3,3,3,224,1,224,224,224,3,1,3,3,3
20,10,15,1,15,15,15,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,23,1,23,23,23,205,1,205,205,205,3,1,3,3,3,205,1,205,205,205,3,1,3,3,3
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,201,1,201,201,201,3,1,3,3,3
20,10,13,1,13,13,13,198,1,198,198,198,2,1,2,2,2,198,1,198,198,198,2,1,2,2,2
20,10,20,1,20,20,20,206,1,206,206,206,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,11,1,11,11,11,197,1,197,197,197,2,1,2,2,2,197,1,197,197,197,2,1,2,2,2
20,10,23,1,23,23,23,205,1,205,205,205,3,1,3,3,3,285,1,285,285,285,3,1,3,3,3
20,10,15,1,15,15,15,199,1,199,199,199,3,1,3,3,3,212,1,212,212,212,3,1,3,3,3
20,10,21,1,21,21,21,204,1,204,204,204,3,1,3,3,3,204,1,204,204,204,3,1,3,3,3
20,10,18,1,18,18,18,203,1,203,203,203,3,1,3,3,3,222,1,222,222,222,2,1,2,2,2
20,10,18,1,18,18,18,201,1,201,201,201,3,1,3,3,3,201,1,201,201,201,3,1,3,3,3
20,10,16,1,16,16,16,203,1,203,203,203,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,15,1,15,15,15,200,1,200,200,200,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,17,1,17,17,17,203,1,203,203,203,3,1,3,3,3,232,1,232,232,232,3,1,3,3,3
20,10,19,1,19,19,19,204,1,204,204,204,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,23,1,23,23,23,203,1,203,203,203,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,21,1,21,21,21,201,1,201,201,201,3,1,3,3,3,224,1,224,224,224,3,1,3,3,3
20,10,11,1,11,11,11,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,20,1,20,20,20,201,1,201,201,201,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,19,1,19,19,19,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,14,1,14,14,14,201,1,201,201,201,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,28,1,28,28,28,205,1,205,205,205,3,1,3,3,3,230,1,230,230,230,3,1,3,3,3
20,10,19,1,19,19,19,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,22,1,22,22,22,203,1,203,203,203,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,15,1,15,15,15,201,1,201,201,201,3,1,3,3,3,201,1,201,201,201,3,1,3,3,3
20,10,19,1,19,19,19,204,1,204,204,204,3,1,3,3,3,204,1,204,204,204,3,1,3,3,3
20,10,22,1,22,22,22,205,1,205,205,205,3,1,3,3,3,222,1,222,222,222,3,1,3,3,3
20,10,20,1,20,20,20,205,1,205,205,205,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,21,1,21,21,21,206,1,206,206,206,4,1,4,4,4,245,1,245,245,245,4,1,4,4,4
20,10,21,1,21,21,21,200,1,200,200,200,3,1,3,3,3,217,1,217,217,217,3,1,3,3,3
20,10,24,1,24,24,24,206,1,206,206,206,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,23,1,23,23,23,201,1,201,201,201,3,1,3,3,3,230,1,230,230,230,3,1,3,3,3
20,10,18,1,18,18,18,200,1,200,200,200,3,1,3,3,3,200,1,200,200,200,3,1,3,3,3
20,10,18,1,18,18,18,201,1,201,201,201,3,1,3,3,3,229,1,229,229,229,2,1,2,2,2
20,10,14,1,14,14,14,201,1,201,201,201,3,1,3,3,3,234,1,234,234,234,2,1,2,2,2
20,10,30,1,30,30,30,210,1,210,210,210,4,1,4,4,4,254,1,254,254,254,4,1,4,4,4
20,10,19,1,19,19,19,203,1,203,203,203,3,1,3,3,3,247,1,247,247,247,3,1,3,3,3
20,10,18,1,18,18,18,202,1,202,202,202,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,16,1,16,16,16,202,1,202,202,202,3,1,3,3,3,217,1,217,217,217,3,1,3,3,3
20,10,16,1,16,16,16,203,1,203,203,203,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,20,1,20,20,20,202,1,202,202,202,3,1,3,3,3,221,1,221,221,221,2,1,2,2,2
20,10,27,1,27,27,27,209,1,209,209,209,3,1,3,3,3,253,1,253,253,253,3,1,3,3,3
20,10,13,1,13,13,13,199,1,199,199,199,2,1,2,2,2,209,1,209,209,209,2,1,2,2,2
20,10,15,1,15,15,15,199,1,199,199,199,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,22,1,22,22,22,204,1,204,204,204,3,1,3,3,3,222,1,222,222,222,3,1,3,3,3
20,10,19,1,19,19,19,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,21,1,21,21,21,204,1,204,204,204,3,1,3,3,3,239,1,239,239,239,3,1,3,3,3
20,10,16,1,16,16,16,200,1,200,200,200,3,1,3,3,3,213,1,213,213,213,3,1,3,3,3
20,10,16,1,16,16,16,200,1,200,200,200,3,1,3,3,3,247,1,247,247,247,3,1,3,3,3
20,10,22,1,22,22,22,204,1,204,204,204,3,1,3,3,3,233,1,233,233,233,3,1,3,3,3
20,10,18,1,18,18,18,203,1,203,203,203,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,21,1,21,21,21,205,1,205,205,205,3,1,3,3,3,217,1,217,217,217,3,1,3,3,3
20,10,20,1,20,20,20,205,1,205,205,205,3,1,3,3,3,237,1,237,237,237,3,1,3,3,3
20,10,16,1,16,16,16,201,1,201,201,201,3,1,3,3,3,226,1,226,226,226,3,1,3,3,3
20,10,19,1,19,19,19,204,1,204,204,204,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,23,1,23,23,23,203,1,203,203,203,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,21,1,21,21,21,203,1,203,203,203,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,22,1,22,22,22,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,25,1,25,25,25,207,1,207,207,207,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,17,1,17,17,17,199,1,199,199,199,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,12,1,12,12,12,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,25,1,25,25,25,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,13,1,13,13,13,201,1,201,201,201,3,1,3,3,3,243,1,243,243,243,3,1,3,3,3
20,10,10,1,10,10,10,199,1,199,199,199,3,1,3,3,3,214,1,214,214,214,2,1,2,2,2
20,10,10,1,10,10,10,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,21,1,21,21,21,205,1,205,205,205,3,1,3,3,3,228,1,228,228,228,3,1,3,3,3
20,10,17,1,17,17,17,202,1,202,202,202,3,1,3,3,3,229,1,229,229,229,3,1,3,3,3
20,10,21,1,21,21,21,203,1,203,203,203,3,1,3,3,3,251,1,251,251,251,3,1,3,3,3
20,10,22,1,22,22,22,206,1,206,206,206,3,1,3,3,3,223,1,223,223,223,3,1,3,3,3
20,10,14,1,14,14,14,198,1,198,198,198,2,1,2,2,2,198,1,198,198,198,2,1,2,2,2
20,10,15,1,15,15,15,200,1,200,200,200,3,1,3,3,3,217,1,217,217,217,3,1,3,3,3
20,10,17,1,17,17,17,202,1,202,202,202,3,1,3,3,3,228,1,228,228,228,2,1,2,2,2
20,10,21,1,21,21,21,204,1,204,204,204,4,1,4,4,4,238,1,238,238,238,4,1,4,4,4
20,10,17,1,17,17,17,204,1,204,204,204,3,1,3,3,3,276,1,276,276,276,2,1,2,2,2
20,10,18,1,18,18,18,200,1,200,200,200,3,1,3,3,3,225,1,225,225,225,3,1,3,3,3
20,10,24,1,24,24,24,207,1,207,207,207,3,1,3,3,3,207,1,207,207,207,3,1,3,3,3
20,10,23,1,23,23,23,204,1,204,204,204,3,1,3,3,3,246,1,246,246,246,3,1,3,3,3
20,10,21,1,21,21,21,204,1,204,204,204,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,21,1,21,21,21,203,1,203,203,203,3,1,3,3,3,240,1,240,240,240,3,1,3,3,3
20,10,22,1,22,22,22,203,1,203,203,203,3,1,3,3,3,226,1,226,226,226,3,1,3,3,3
20,10,16,1,16,16,16,201,1,201,201,201,2,1,2,2,2,201,1,201,201,201,2,1,2,2,2
20,10,15,1,15,15,15,197,1,197,197,197,2,1,2,2,2,197,1,197,197,197,2,1,2,2,2
20,10,15,1,15,15,15,203,1,203,203,203,3,1,3,3,3,275,1,275,275,275,3,1,3,3,3
20,10,21,1,21,21,21,203,1,203,203,203,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,17,1,17,17,17,201,1,201,201,201,3,1,3,3,3,218,1,218,218,218,3,1,3,3,3
20,10,19,1,19,19,19,204,1,204,204,204,3,1,3,3,3,225,1,225,225,225,3,1,3,3,3
20,10,20,1,20,20,20,199,1,199,199,199,3,1,3,3,3,212,1,212,212,212,3,1,3,3,3
